"","show_id","type","title","director","cast","country","date_added","release_year","rating","duration","genres","language","description","popularity","vote_count","vote_average","budget","revenue"
"11028",773736,"Movie","TINA","T.J. Martin, Daniel Lindsay","Tina Turner, Angela Bassett, Oprah Winfrey, Kurt Loder, Katori Hall","United Kingdom, United States of America","2021-08-20",2021,7.7,NA,"Documentary, Music, TV Movie","en","Tina Turner overcame impossible odds to become one of the first female Black artists to reach a mainstream international audience. Her road to superstardom is an undeniable story of triumph over adversity. It’s the ultimate story of survival – and an inspirational story of our times.",58.5,69,7.7,0,0
"15614",1093537,"Movie","Adhirshtasaali","Mithran Jawahar","R. Madhavan, Madonna Sebastian, Sai Dhanshika, Upasana Rai, Radikaa Sarathkumar","India","2025-03-07",2025,0,NA,"Drama","ta","The life and achievements of GD Naidu.",7.5,0,0,0,0
"9037",554600,"Movie","Uri: The Surgical Strike","Aditya Dhar","Vicky Kaushal, Paresh Rawal, Yami Gautam, Kirti Kulhari, Mohit Raina","India","2019-01-11",2019,7.025,NA,"Action, Drama, War","hi","Following the roguish terrorist attacks at Uri Army Base camp in Kashmir, India takes the fight to the enemy, in its most successful covert operation till date with one and only one objective of avenging their fallen heroes.",47.212,434,7.025,0,0
"5098",287948,"Movie","The Transporter Refueled","Camille Delamarre","Ed Skrein, Ray Stevenson, Loan Chabanol, Gabriella Wright, Tatiana Pajković","Belgium, China, France","2015-09-02",2015,5.5,NA,"Action, Thriller, Crime","en","The fast-paced action movie is again set in the criminal underworld in France, where Frank Martin is known as The Transporter, because he is the best driver and mercenary money can buy. In this installment, he meets Anna and they attempt to take down a group of ruthless Russian human traffickers who also have kidnapped Frank’s father.",27.786,1498,5.5,25000000,72629670
"14468",1146972,"Movie","Mobile Suit Gundam SEED FREEDOM","Mitsuo Fukuda","Soichiro Hoshi, Rie Tanaka, Akira Ishida, Nanako Mori, Kenichi Suzumura","Japan","2024-01-26",2024,6.7,NA,"Animation, Science Fiction, Action, Drama","ja","In C.E.75, the fighting still continues. There are independence movements, and aggression by Blue Cosmos... In order to calm the situation, a global peace monitoring agency called COMPASS is established, with Lacus as its first president. As members of COMPASS, Kira and his comrades intervene into various regional battles. Then a newly established nation called Foundation proposes a joint operation against a Blue Cosmos stronghold.",30.028,60,6.7,0,36038764
"10531",567970,"Movie","Lost Girls","Liz Garbus","Amy Ryan, Thomasin McKenzie, Lola Kirke, Gabriel Byrne, Oona Laurence","United States of America","2020-01-28",2020,6.1,NA,"Drama, Mystery, Thriller, History","en","When Mari Gilbert's daughter disappears, police inaction drives her own investigation into the gated Long Island community where Shannan was last seen. Her search brings attention to over a dozen murdered prostitutes.",9.911,705,6.1,0,0
"1939",77716,"Movie","The Cup","Simon Wincer","Stephen Curry, Brendan Gleeson, Tom Burlinson, Jodi Gordon, Daniel MacPherson","Australia","2011-11-13",2011,5.618,NA,"Drama, History","en","At the heart of this true story is Damien Oliver, a young jockey who loses his only brother in a tragic racing accident, hauntingly reflecting of the way their father died 27 years earlier. After suffering through a series of discouraging defeats, Damien teams with Irish trainer Dermot Weld, and triumphs at the 2002 Melbourne Cup in one of the most thrilling finales in sporting history.",4.689,17,5.618,0,0
"15717",1414157,"Movie","Reality Bites: A Hannah Swensen Mystery","Kevin Leslie","Alison Sweeney, Victor Webster, Barbara Niven, Gabriel Hogan, Tess Atkins","Canada, United States of America","2025-02-06",2025,8.3,NA,"Mystery, Drama, TV Movie","en","Hannah's favorite reality show takes over The Cookie Jar. When the producer is found dead, Hannah and Norman team up to track down the killer. Chad invites Hannah to court.",6.651,3,8.3,0,0
"13769",913001,"Movie","The Imaginary","Yoshiyuki Momose","Kokoro Terada, Rio Suzuki, Sakura Ando, Riisa Naka, Takayuki Yamada","Japan","2023-12-15",2023,7.9,NA,"Animation, Adventure, Drama, Family, Fantasy","ja","Amanda and her imaginary friend Rudger go on thrilling make-believe adventures. But when Rudger finds himself alone, he faces a mysterious threat.",11.55,57,7.9,0,0
"9740",513776,"Movie","Poseído","Javier M. Ruiz","Amelia Zapata, Cristina Zulueta, Louis David Horné, Elyfer Torres, César Kancino","Spain","2019-10-31",2019,4.8,NA,"Horror","es","Cristian is attacked by an evil entity , her mother did not know what to do , his godfather father Ernesto fought to save him and thus regain the faith of the people.",8.705,4,4.8,0,0
"10386",611213,"Movie","The Prom","Ryan Murphy","Meryl Streep, James Corden, Nicole Kidman, Kerry Washington, Keegan-Michael Key","United States of America","2020-12-02",2020,6.1,NA,"Romance, Comedy","en","After the PTA of a conservative high school in Indiana bans same-sex couples from attending the annual prom, a gang of flamboyant Broadway stars try to boost their image by showing up to support two lesbian students.",11.767,682,6.1,0,187432
"7427",438259,"Movie","Journey's End","Saul Dibb","Asa Butterfield, Sam Claflin, Paul Bettany, Tom Sturridge, Toby Jones","United Kingdom","2017-12-14",2017,6.3,NA,"War, Drama, Action","en","Set in a dugout in Aisne in 1918, a group of British officers, led by the mentally disintegrating young officer Stanhope, variously await their fate.",12.106,299,6.3,0,0
"13540",1045205,"Movie","Someday We'll Tell Each Other Everything","Emily Atef","Marlene Burow, Felix Kramer, Cedric Eich, Silke Bodenbender, Christine Schorn","Germany","2023-04-13",2023,6.068,NA,"Drama","de","Set in a warm summer in 1990 in former East Germany, it follows a young woman who begins a relationship with a charismatic farmer who is twice her age.",15.275,37,6.068,0,0
"12063",610150,"Movie","Dragon Ball Super: Super Hero","Tetsuro Kodama","Masako Nozawa, Toshio Furukawa, Yuko Minaguchi, Hiroshi Kamiya, Mamoru Miyano","Japan","2022-06-11",2022,7.9,NA,"Animation, Science Fiction, Action","ja","The Red Ribbon Army, an evil organization that was once destroyed by Goku in the past, has been reformed by a group of people who have created new and mightier Androids, Gamma 1 and Gamma 2, and seek vengeance against Goku and his family.",48.47,2865,7.9,0,86600000
"10574",550524,"Movie","Monday","Argyris Papadimitropoulos","Sebastian Stan, Denise Gough, Dominique Tipper, Vangelis Mourikis, Yorgos Pirpassopoulos","Greece, United Kingdom, United States of America","2020-09-11",2020,6.6,NA,"Drama, Romance","en","A spark on a Friday can lead to a sizzling weekend fling, but what happens when you get to the inevitable Monday?",9.548,167,6.6,0,0
"8909",1208930,"Movie","Hentai oyaji: Love me! Itten daa","Yutaka Ikejima","Riko Matsui, Miyu Kanade, Chisa Hasegawa","Japan","2018-07-13",2018,6,NA,"Drama","ja","",7.3,2,6,0,0
"8115",505058,"Movie","Unfriended: Dark Web","Stephen Susco","Colin Woodell, Betty Gabriel, Rebecca Rittenhouse, Andrew Lees, Connor Del Rio","United States of America","2018-07-19",2018,6.3,NA,"Horror, Thriller, Mystery","en","​When a 20-something finds a cache of hidden files on his new laptop, he and his friends are unwittingly thrust into the depths of the dark web. They soon discover someone has been watching their every move and will go to unimaginable lengths to protect the dark web.",23.727,1540,6.3,1000000,1.6e+07
"12449",963261,"Movie","Son's Girlfriend, Daddy's Girlfriend 2","Ri Yoon","Yoo Jung, Kim Soo-ji, Lee Chae-dam, Cha Myung-Hoon, Park Do-jin","South Korea","2022-04-01",2022,4,NA,"Romance","ko","Jeong-goo is in a relationship with his son's girlfriend, Mi-hee. Mi-hee feels guilty and breaks up with Yeong-jin, and Yeong-jin who is struggling because of it, got in a relationship with Joo-eun. Yeong-jin's ex-wife, Yeon-ri meets Jeong-goo by chance and finds out about the whole thing, and Yeon-ri who was curious about Jeong-goo, sleeps with him...",14.112,2,4,0,0
